ID;Category;Country;Priority Project Number;Priority Project Title;Amount (USD);Amount (AUD);Official Keywords;Indicative Priority Project Cost (USD);Extracted Keywords
19;CROSS-SECTORIAL;Rwanda;5;Increase adaptive capacity of grouped settlement Imidugudu located in vulnerable regions to climate change by the improvement of potable water, sanitation and alternative energy services, and the promotion of non agricultural jobs;1,650,000;;Water resource development, Capacity building and alternative energy
20;CROSS-SECTORIAL;Rwanda;6;Increase food and medicine modes of distribution to respond to extreme climate change and sensitize to stocking and conservation of agricultural products;;850;Disaster preparedness, capacity building and agriculture
270; ENERGY ;Rwanda;7;Preparation and implementation of woody combustible substitution national strategy to combat deforestation and erosion as well.;;950;Fuel wood
401;   TERRESTRIAL ECOSYSTEMS  ;Rwanda;1;Lands conservation and protection against erosion and floods at districts level of vulnerable regions to climate change;1,450,000;;Land Protection and Preservation;1450000;change,flood,district,conservation land protection,erosion
476;WATER RESOURCES  ;Rwanda;3;Development of irrigated areas by gravity water systems from perennial streams and rivers in often vulnerable zones to prolonged droughts;;750;Surface water;750000;development,drought,area gravity system water,perennial stream,often vulnerable zone
21;CROSS-SECTORIAL;Samoa;6;Zoning & Strategic Management Planning Project;;400;Mainstreaming and policy implementation;400000;management planning project strategic zoning
22;CROSS-SECTORIAL;Samoa;8;Establishing Conservation Programs in Highly Vulnerable  Marine & Terrestrial Areas of Communities Project;;350;Biodiversity conservation, capacity building and public awareness
114; FOOD SECURITY ;Samoa;5;Agriculture & Food Security Sustainability Project;;320;Agriculture;320000;agriculture food project security sustainability
205;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Samoa;4;Climate Early Warning System Project;4,500,000;;Early warning system;4500000;climate early project system warning
293; HEALTH ;Samoa;3;Climate Health Cooperation Program Project;;620;Project on climate-related health;620000;climate cooperation health program project
334; INFRASTRUCTURE  ;Samoa;7;Implement Coastal Infrastructure Management Plans for Highly Vulnerable District Project;;450;Coastal Infrastructure;450000;district project vulnerable,coastal infrastructure management plan
402;   TERRESTRIAL ECOSYSTEMS  ;Samoa;2;Reforestation, Rehabilitation & Community Forestry Fire Prevention Project;;417,5;Forest ecosystem;417500;reforestation,community fire forestry prevention project rehabilitation
424; TOURISM ;Samoa;9;Sustainable Tourism Adaptation Project;;250;Sustainable Tourism;250000;adaptation project sustainable tourism
477;WATER RESOURCES  ;Samoa;1;Securing Community Water Resource;;505;Community water
23;CROSS-SECTORIAL;Sao Tome e Principe;17;Sustainable management of water and energy;;300;Water and Energy;300000;management sustainable,energy,water
115; FOOD SECURITY ;Sao Tome e Principe;1;Training and readapt project of the new navigation technologies and fishing equipment for fishermen;;350;Fisheries;350000;project,training,fisherman,navigation new technology,equipment fishing
116; FOOD SECURITY ;Sao Tome e Principe;4;Construction and installation of Device for Fish Concentration (DFC) on costal zone;;250;Fisheries;250000;costal zone,construction installation,concentration fish,dfc,device
117; FOOD SECURITY ;Sao Tome e Principe;6;Reinforcement and diversification of agricultural production;1,650,000;;Agriculture;1650000;agricultural production,diversification reinforcement
118; FOOD SECURITY ;Sao Tome e Principe;7;Integrated project of development (cow and sheep) in the north part of S. Tomé island;;900;Livestock;900000;island s. tomé,development integrated project,cow sheep
206;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Sao Tome e Principe;2;Establishing a system of climate alert;;500;Early Warning System;500000;climate,systems
250; EDUCATION/ CAPACITY BUILDING ;Sao Tome e Principe;15;Reinforcement of Human Technical Capacity of National Civil Protection and Firework;;200;Capacity building;200000;capacity human technical,civil firework national protection,reinforcement
251; EDUCATION/ CAPACITY BUILDING ;Sao Tome e Principe;22;Strengthening the car parking of the National Civil Protection and Firework;;350;Capacity building;350000;firework,car parking,civil national protection
271; ENERGY ;Sao Tome e Principe;11;Introduction of the new technology for use firewood and to make charcoal;;500;New energy technology;500000;introduction,new technology,firewood use,charcoal
272; ENERGY ;Sao Tome e Principe;19;Introduction of renewable energy;;500;Renewable energy;500000;introduction,energy renewable
273; ENERGY ;Sao Tome e Principe;20;Construction of two hydro power-stations, at Claudino Faro and Bernardo Faro;;500;Hydropower;500000;construction,bernardo claudino faro,hydro power two,station
294; HEALTH ;Sao Tome e Principe;3;Communication action for behavior change;;152,5;Action to change behavior;152500;action behavior change communication
295; HEALTH ;Sao Tome e Principe;13;Make an epidemic data base about potential diseases related to CC;;21,25;Epidemic diseases;21250;disease potential,datum epidemic
296; HEALTH ;Sao Tome e Principe;14;Elaboration of strategic and emergency plans emphasizing the health sector;;36,25;Strategic and emergency plans on health;36250;elaboration,health sector,emergency plan strategic
297; HEALTH ;Sao Tome e Principe;16;Training and study visits (doctors, nurses, volunteers, students, etc..) for emergency needs;;215;Emergency needs;215000;study training visit,nurse,doctor,emergency,student
298; HEALTH ;Sao Tome e Principe;18;Correlate data diseases of vector origin, focus on malaria, through system GIS with MARA/OMS initiative foreseeing the spatial risk of the problem (epidemic malaria);;200;Health-related information system;200000;epidemic malaria,initiative mara,datum disease origin vector,gis system,focus malaria
335; INFRASTRUCTURE  ;Sao Tome e Principe;9;Relocation of local community (Malanza, Sta Catarina and Sundy) at risk of floods and landfalls;;500;Relocation Infrastructure;500000;community local,relocation,catarina sta sundy,flood landfall,malanza
336; INFRASTRUCTURE  ;Sao Tome e Principe;10;Construction of Infrastructure for protection of vulnerable communities;;300;Infrastructure of protection;300000;protection,community vulnerable,construction infrastructure
337; INFRASTRUCTURE  ;Sao Tome e Principe;12;Establishing agricultural tourism at Monte Café e Porto Real;;600;Infrastructure for agricultural tourism;600000;café monte porto,agricultural tourism
403;   TERRESTRIAL ECOSYSTEMS  ;Sao Tome e Principe;8;Sustainable management of forestall resources;2,915,000;;Forestry ecosystem;2915000;management sustainable,forestall resource
478;WATER RESOURCES  ;Sao Tome e Principe;5;Construction of two drinking water supply systems in the rural zone;1,000,000;;Water supply system;1000000;construction,drinking supply system two water,rural zone
479;WATER RESOURCES  ;Sao Tome e Principe;21;Evaluation and planning of water resources;;400;Water management
162;  COASTAL ZONES AND MARINE ECOSYSTEMS;Senegal;3;Protection of the coastal region. 1. Reforestation of coastal sites.;116,000.00;;Coastal zones
163;  COASTAL ZONES AND MARINE ECOSYSTEMS;Senegal;3;Protection of the coastal region. 2. Implementation of technical infrastructures.;40,624,000;;Coastal zones
164;  COASTAL ZONES AND MARINE ECOSYSTEMS;Senegal;3;Protection of the coastal region.  3. Restoration of mangrove vegetation.;;208;Coastal zones
165;  COASTAL ZONES AND MARINE ECOSYSTEMS;Senegal;3;Protection of the coastal region. 4. Implementation of alternative measures to the exploitation of coastal sand.;;240;Coastal zones
166;  COASTAL ZONES AND MARINE ECOSYSTEMS;Senegal;3;Protection of the coastal region. 5. Implementation of institutional measures;;60;Coastal zones
252; EDUCATION/ CAPACITY BUILDING ;Senegal;4;Awareness raising, information sharing and capacity building for actors for the appropriation and durability of activities;;160;Public awareness
404;   TERRESTRIAL ECOSYSTEMS  ;Senegal;1;Implementation of agroforestry in North Region;1,108,000;;Forest ecosystems
405;   TERRESTRIAL ECOSYSTEMS  ;Senegal;1;Implementation of agroforestry in Bassin Arachidier Region;4,600,000;;Forest ecosystems
406;   TERRESTRIAL ECOSYSTEMS  ;Senegal;1;Implementation of agroforestry in South Region: Tambacounda, Kolda, Ziguinchor,;4,930,000;;Forest ecosystems
407;   TERRESTRIAL ECOSYSTEMS  ;Senegal;1;Implementation of agroforestry in Niayve Region;1,108,000;;Forest ecosystem
480;WATER RESOURCES  ;Senegal;2;Sustainable use of water. Project 1: Revitalization of lowland water system, temporary ponds and artificial lakes in support to the retention basin program;;280;Water management
481;WATER RESOURCES  ;Senegal;2;Sustainable use of water. Project 2: Promoting drip irrigation;;372;Irrigation
24;CROSS-SECTORIAL;Sierra Leone;6;Development of an Integrated Natural Resources and Environmental Management system for Sierra Leone.;1,265,000;;Policy implementation, public awareness and capacity building
25;CROSS-SECTORIAL;Sierra Leone;19;Develop and enact appropriate policies and regulations relevant to the development of coastal communities, urban growth planning, and critical coastal ecosystems preservation;;60;Policy development and implementation, Coastal zones/Ecosystems, urban growth;60000;development,coastal community,growth planning urban,appropriate policy,coastal critical ecosystem
119; FOOD SECURITY ;Sierra Leone;5;Development of Inland Valley Swamps for Rice Production in the Moyamba District.;1,075,000;;Agriculture
120; FOOD SECURITY ;Sierra Leone;7;Development of Irrigation and drainage systems for agricultural production in the Bombali District.;1,055,000;;Agriculture
121; FOOD SECURITY ;Sierra Leone;14;Establishment of a Permanent Study Programme of the Multi Species Fisheries in Sierra Leone;;395;Fisheries;395000;leone sierra,establishment,permanent programme study,fisheries multi species
122; FOOD SECURITY ;Sierra Leone;16;Improve on the Quality on Fisheries Related Data and Research;;455;Fisheries;455000;quality,data fisheries related research
167;  COASTAL ZONES AND MARINE ECOSYSTEMS;Sierra Leone;17;Development of an Integrated Coastal Zone Management Plan for Sierra Leone;;90;Coastal zones;90000;development,leone sierra,coastal integrated management plan zone
168;  COASTAL ZONES AND MARINE ECOSYSTEMS;Sierra Leone;18;Rehabilitation of degraded coastal habitats in the Northern Region of Sierra Leone;;317;Coastal zones;317000;rehabilitation,leone sierra,coastal degraded habitat,northern region
207;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Sierra Leone;1;Develop an Early Warning System in Sierra Leone;;751,95;Early warning system
208;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Sierra Leone;20;Establishment of a National Sea-Level Observing System for Sierra Leone;;180;Early warning system;180000;leone sierra,establishment,level,national sea,system
253; EDUCATION/ CAPACITY BUILDING ;Sierra Leone;3;Capacity building of the Meteorological Department through training of personnel for the country's adaptation to climate change;;152,8;Capacity building
254; EDUCATION/ CAPACITY BUILDING ;Sierra Leone;4;Sensitization and awareness raising campaigns on climate change impacts on women relating to the three conventions of biodiversity, desertification and UNFCCC;;132;Education / Public awareness
274; ENERGY ;Sierra Leone;8;Promotion of the use of renewable energy (Solar Energy) in Sierra Leone and improvement of energy efficiency and conservation of energy resources.;1,500,000;;Renewable energy
299; HEALTH ;Sierra Leone;21;Monitoring and control of malaria in the Moyamba district of Sierra Leone.;;520;Malaria
300; HEALTH ;Sierra Leone;22;Monitoring and control of water and sanitation activities in the Koinadugu District of Sierra Leone;1,680,000;;Control of water and sanitation;1680000;leone sierra,water,control monitoring,district koinadugu,activity sanitation
301; HEALTH ;Sierra Leone;23;Monitoring and control of  HIV/AIDS prevention activities in the Koinadugu district of Sierra Leone;1,200,000;;HIV/AIDS
302; HEALTH ;Sierra Leone;24;Monitoring, evaluation and control of water and sanitation activities in slum areas of Freetown, the capital city of Sierra Leone.;2,070,000;;Water quality and sanitation
338; INFRASTRUCTURE  ;Sierra Leone;2;Rehabilitation & Reconstruction of meteorological/climate monitoring stations throughout the country;1,231,651;;Infrastructure for meteorological stations;1231651;country,reconstruction rehabilitation,meteorological monitoring station
408;   TERRESTRIAL ECOSYSTEMS  ;Sierra Leone;9;Establishment of new Forest Reserves, Protected Areas and National Parks in Sierra Leone.;2,500,000;;Forest ecosystem
409;   TERRESTRIAL ECOSYSTEMS  ;Sierra Leone;10;Management and Protection of Forest Reserves and Catchment areas including Wetlands.;5,000,000;;Forest ecosystems
410;   TERRESTRIAL ECOSYSTEMS  ;Sierra Leone;15;Delineation and Restoration of Vulnerable Habitats And Ecosystems in The Western Area of Sierra Leone;;420;Terrestrial Biodiversity;420000;leone sierra,ecosystems,area western,habitat vulnerable,delineation restoration
482;WATER RESOURCES  ;Sierra Leone;11;Institutional Strengthening of the Water Resources Sector in Sierra Leone.;2,250,000;;Water management
483;WATER RESOURCES  ;Sierra Leone;12;Improvement of The Efficiency of Existing Water Supply Systems in both Urban And Rural Areas of Sierra Leone;2,950,000;;Water supply;2950000;improvement,leone sierra,area rural,efficiency,supply systems water
484;WATER RESOURCES  ;Sierra Leone;13;Promotion of Rain Water Harvesting and Development of an Integrated Management System for Fresh Water Bodies;2,800,000;;Rain water;2800000;promotion,body fresh water,integrated management system,development harvesting rain water
26;CROSS-SECTORIAL;Solomon Islands;1;Agriculture and food security, water and sanitation, human settlements and human health, education awareness and information;6,500,000;;Food security, water and sanitation, health
27;CROSS-SECTORIAL;Solomon Islands;3;Waste management;1,500,000;;Development of information system, Institutional capacity and Education;1500000;management waste
169;  COASTAL ZONES AND MARINE ECOSYSTEMS;Solomon Islands;4;Coastal protection;1,750,000;;Coastal zones;1750000;coastal protection
170;  COASTAL ZONES AND MARINE ECOSYSTEMS;Solomon Islands;5;Fisheries and Marine resources;1,500,000;;Marine ecosystems
209;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Solomon Islands;2;Low lying and artificially built-up islands;3,500,000;;Disaster management
339; INFRASTRUCTURE  ;Solomon Islands;6;Infrastructure development;2,000,000;;Infrastructure development;2000000;development infrastructure
425; TOURISM ;Solomon Islands;7;Tourism;;500;Tourism;500000;tourism
210;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Somalia;3;Reducing risks among vulnerable populations from natural disasters;4,100,000;;Disastermanagement;4100000;risk,disaster natural,population vulnerable
411;   TERRESTRIAL ECOSYSTEMS  ;Somalia;1;Sustainable land management to build resilient rural livelihoods and enable national food security;6,450,000;;Land management;6450000;food national security,land management sustainable,livelihood resilient rural
485;WATER RESOURCES  ;Somalia;2;Integrated water resources management to ensure water access and supply to vulnerable populations and sectors;8,100,000;;Water management;8100000;population sector,integrated resource water,access supply water
28;CROSS-SECTORIAL;Sudan;1;Enhancing resilience to increasing rainfall variability through rangeland rehabilitation and water harvesting in the Butana area of Gedarif State;2,800,000;;Livestock, water harvesting and  disaster Management;2800000;resilience,area butana,rainfall rangeland rehabilitation variability,harvesting water,gedarif state
29;CROSS-SECTORIAL;Sudan;2;Reducing the vulnerability of communities in drought-prone areas of southern Darfur State through improved water harvesting practices;2,500,000;;Vulnerability Mitigation, water harvesting and reforestation;2500000;area prone,vulnerability,community drought,darfur southern state,harvesting practice water
30;CROSS-SECTORIAL;Sudan;5;Adapting Strategies to drought-induced water shortages in highly vulnerable areas in Central Equatorial State;5,000,000;;Agroforestry, environmental and health mitigation and water management
123; FOOD SECURITY ;Sudan;3;Improving sustainable agricultural practices under increasing heat stress in the River Nile State;2,350,000;;Agriculture
412;   TERRESTRIAL ECOSYSTEMS  ;Sudan;4;Environmental conservation and biodiversity restoration in northern Kordofan State as a coping mechanism for rangeland protection under conditions of increasing climate variability;2,400,000;;Terrestrial Biodiversity;2400000;climate variability,condition,biodiversity conservation environmental restoration,kordofan northern state,coping mechanism
124; FOOD SECURITY ;Tanzania;1;Improving food security in drought-prone areas by promoting drought-prone tolerant crops;8,500,000;;Agriculture;8500000;area prone,drought,drought food security,crop prone tolerant
275; ENERGY ;Tanzania;5;Community Based Mini-hydro for Economic Diversification as a result of Climate Change in Same District;;620;Mini Hydropower
303; HEALTH ;Tanzania;6;Combating Malaria Epidemic in Newly Mosquito-infested areas;;650;Malaria
413;   TERRESTRIAL ECOSYSTEMS  ;Tanzania;4;Climate change adaptation through participatory reforestation in Kilimanjaro Mountain;3,300,000;;Forest ecosystems
486;WATER RESOURCES  ;Tanzania;2;Improving Water availability to drought-stricken Communities in the Central part of the country;;800;Water management
487;WATER RESOURCES  ;Tanzania;3;Shifting of Shallow Water Wells Affected by Inundation on the Coastal Regions of Tanzania Mainland and Zanzibar;3,300,000;;Wells
488;WATER RESOURCES  ;Timor-Leste;2;Promotion of integrated water resource management (IWRM) to guarantee water access to people in the context of increasing climate risks;3,700,000;;;3700000;management resource water,context,iwrm,access water,climate risk
125; FOOD SECURITY ;Timor-Leste;1;Building resilience of rural livelihoods to secure national food security;3,600,000;;Agroforestry, land management;3600000;livelihood rural,building resilience,food national security
126; FOOD SECURITY ;Timor-Leste;6;Improved institutional, human resource capacity and information management in the disaster sector in relation to climate change induced risks at national, district and community levels;2,300,000;;Livestockproduction
211;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Timor-Leste;4;Improving institutional, human resource capacity and information management in the disaster risks at national, district and community levels;2,600,000;;Disaster management
255; EDUCATION/ CAPACITY BUILDING ;Timor-Leste;9;National institutional capacity development to build and enhance Timor Leste’s capacity to coordinate/integrate climate change into strategic planning in moving towards sustainable development and poverty reduction;1,300,000;;Climate change institutional framework
304; HEALTH ;Timor-Leste;3;Enhancing capacity of the health sector to anticipate and respond to changes and reduce vulnerability of the population at risk from expansion of climate-related disease;1,700,000;;Human institution, Health care;1700000;change,climate,disease,capacity,expansion
340; INFRASTRUCTURE  ;Timor-Leste;7;Review and revise legislation, regulations and standards to enhance climate change resilient infrastructure;2,000,000;;Infrastructure legislation and regulations;2000000;legislation,review,change climate infrastructure resilient,regulation standard
341; INFRASTRUCTURE  ;Timor-Leste;8;Support to the ambitious national poverty reduction target (cf. draft Timor Leste strategic development plan 2011-2030) in relation to the expected increased storm intensity at sea by improving capacity to forecast and adapt offshore oil and gas infrastructure to withstand strong storms and waves;1,300,000;;Infrastructure protection
414;   TERRESTRIAL ECOSYSTEMS  ;Timor-Leste;5;Restoration and conservation of mangrove ecosystems and awareness raising to protect coastal ecosystems exposed to sea level rise;3,000,000;;Mangrove ecosystems, coastal ecosystems;3000000;awareness,level rise,conservation restoration,coastal ecosystem,ecosystem mangrove
127; FOOD SECURITY ;Togo;1;Adaptation of the agricultural production systems in three regions through the development of techniques that integrate climate change and improve agro-meteorological information;3,500,000;;Agriculture, Breeding, Fishing;3500000;adaptation,development,agro,change climate integrate,agricultural production system
128; FOOD SECURITY ;Togo;5;Developing the irrigation zones of the low-lands for the market gardener communities in the Centrale, Kara and Savanes regions as a mean to stop rural exodus;2,150,000;;Agriculture and Food security;2150000;community gardener market,kara region savanes,centrale,exodus rural,irrigation zone
171;  COASTAL ZONES AND MARINE ECOSYSTEMS;Togo;3;Reinforcing the coastal protection system against coastal erosion in the East part of Lomé;6,250,000;;Coastal zones;3000000;lomé,coastal protection system,east part,coastal erosion
212;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Togo;2;Development of an early warning system for real time information on floods in the Maritime and Savanah regions;6,250,000;;Human institution, health care
305; HEALTH ;Togo;4;Support and assistance to the rural communities of the regions of Savanah and Plateaux to prevent and fight vector borne disease;2,000,000;;Human institution, Health care
489;WATER RESOURCES  ;Togo;6;Enhancing the livelihood of market gardener communities and fishermen in the coastal zone to increase capacity to adapt to the adverse effect of climate change;2,150,000;;Fishing, market gardening, institutional arrangements
490;WATER RESOURCES  ;Togo;7;Assisting the collection of surface water in Savanes and Kara regions through watersheds with multiple goals;4,250,000;;Water management;4250000;kara region savanes,surface water,watershed,collection,goal multiple
129; FOOD SECURITY ;Tuvalu;2;Increasing subsistence pit grown pulaka productivity through introduction of a salt-tolerant pulaka species.;2,220,000;;Agriculture
172;  COASTAL ZONES AND MARINE ECOSYSTEMS;Tuvalu;1;Increasing resilience of Coastal Areas and Settlement to climate change.;1,906,500;;Coastal zones
173;  COASTAL ZONES AND MARINE ECOSYSTEMS;Tuvalu;5;Strengthening of Community Based Conservation Programmes on Highly Vulnerable near-shore Marine Ecosystems.;;636,5;Marine Ecosystems
174;  COASTAL ZONES AND MARINE ECOSYSTEMS;Tuvalu;7;Adaptation to Near-Shore Coastal Shellfish Fishery Resources and Coral Reef Ecosystem Productivity.;;462;Coastal zones
213;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Tuvalu;6;Strengthening Community Disaster Preparedness and Response Potential.;;388;Disaster management
306; HEALTH ;Tuvalu;4;Strengthening of Community health through control of vector borne/climate sensitive diseases and promotion access to quality potable water.;;381,5;Vector-borne and climate related diseases
491;WATER RESOURCES  ;Tuvalu;3;Adaptation to frequent water shortages through increasing household water capacity, water collection accessories, and water conservation techniques.;2,675,300;;Water management
31;CROSS-SECTORIAL;Uganda;8;Indigenous Knowledge (IK) and Natural Resources Management Project;1,200,000;;Public awareness, Natural Resources Management and Capacity Building
32;CROSS-SECTORIAL;Uganda;9;Climate Change and Development Planning Project;1,200,000;;Policy: integration of climate change issues
214;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Uganda;3;Strengthening Meteorological Services;6,500,000;;Weather/climate information
307; HEALTH ;Uganda;7;Vectors, Pests and Disease Control Project;8,000,000;;Vectors, Pests and diseases
415;   TERRESTRIAL ECOSYSTEMS  ;Uganda;1;Community Tree Growing Project;5,500,000;;Forest ecosystems
416;   TERRESTRIAL ECOSYSTEMS  ;Uganda;2;Land Degradation Management Project;4,700,000;;Land Management
417;   TERRESTRIAL ECOSYSTEMS  ;Uganda;6;Drought Adaptation Project;3,000,000;;Land Management
492;WATER RESOURCES  ;Uganda;4;Community Water and Sanitation Project;4,700,000;;Water quality
493;WATER RESOURCES  ;Uganda;5;Water for Production Project;5,000,000;;Water availability
130; FOOD SECURITY ;Vanuatu;1;Agriculture & food security (preservation/processing/marketing, modern & traditional practices, bartering);2,000,000;;Agriculture
175;  COASTAL ZONES AND MARINE ECOSYSTEMS;Vanuatu;3;Community based marine resource management programmes (modern & traditional aquaculture);1,000,000;;Marine Ecosystems
418;   TERRESTRIAL ECOSYSTEMS  ;Vanuatu;3;Sustainable forestry management;1,000,000;;Forestry
426; TOURISM ;Vanuatu;5;Sustainable tourism;1,000,000;;Sustainable Tourism
494;WATER RESOURCES  ;Vanuatu;1;Integrated water resource management;1,000,000;;Water management
33;CROSS-SECTORIAL;Yemen;8;Rehabilitation and maintenanceof mountainous terraces;4,780,000;;AgricultureLand resources and management
131; FOOD SECURITY ;Yemen;7;Rainwater harvesting through various techniques including traditional methods;2,810,000;;WaterAgriculture;2810000;harvesting rainwater,technique various,method traditional
132; FOOD SECURITY ;Yemen;9;Promotion of research on drought, heat and salinity tolerant varieties;3,150,00;;Agriculture Land resources;3150000;drought,promotion research,tolerant variety,heat
133; FOOD SECURITY ;Yemen;11;Sustainable management of fisheries resources;1,180,000;;FisheriesMarine resources;1180000;management sustainable,fishery resource
176;  COASTAL ZONES AND MARINE ECOSYSTEMS;Yemen;1;Develop and implement integrated coastal wone management (ICZM);3,200,000;;Marine ecosystems
177;  COASTAL ZONES AND MARINE ECOSYSTEMS;Yemen;5;Planting and re-planting of mangroves and palms for adaptation to sea level rise;2,450,000;;Coastal zones;2450000;adaptation,level rise,mangrove palm
215;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Yemen;4;Establishment and maintainingof climate change database;;350;Data collection and analysis Training and capacity building
216;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Yemen;6;Develop and implement programs to improve Yemen’s preparedness to cope with extreme weather events;5,000,000;;Weather/Climate information
256; EDUCATION/ CAPACITY BUILDING ;Yemen;3;Awareness raising on adaptation to climate change;;650;Public awareness
257; EDUCATION/ CAPACITY BUILDING ;Yemen;12;Incorporation of climate change and adaptation into school education;;820;Education and awareness
419;   TERRESTRIAL ECOSYSTEMS  ;Yemen;10;Sustainable land management to combat desertification and land degradation;2,330,000;;Land management;2330000;land management sustainable,degradation desertification land
495;WATER RESOURCES  ;Yemen;2;Water conservation through reuse of treated waste water and grey water from mosques, and irrigation saving techniques;3,200,000;;Water resourcesAgriculture
34;CROSS-SECTORIAL;Zambia;3;Adaptation to the Effects of Drought in the context of Climate Change in Agro-Ecological Region I of Zambia;3,000,000;;Livelihood diversification, Capacity building and water management;3000000;change climate,adaptation,agro,drought,context
134; FOOD SECURITY ;Zambia;2;Promotion of alternatives sources of livelihoods to reduce vulnerability to climate change/variability to communities living around GMAs;;175;Livelihood diversification;175000;change,community,livelihood,alternative source,gmas
135; FOOD SECURITY ;Zambia;6;Adaptation of land use practices (crops, fish, and livestock) in light of climate change;1,200,000;;Agriculture, fisheries,  and Livestock;1200000;change climate,crop,fish,adaptation land practice use,light
217;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Zambia;1;Strengthening of early warning systems to improve services to preparedness and adaptation to climate change;1,800,000;;Early warning system;1800000;adaptation,change,early system warning,service
258; EDUCATION/ CAPACITY BUILDING ;Zambia;9;Capacity building for improved environmental health in rural areas;3,000,000;;Capacity building;3000000;building capacity,area rural,environmental health
308; HEALTH ;Zambia;10;Climate proofing sanitation in urban areas;2,000,000;;Climate proofing sanitation;2000000;climate,sanitation,area urban
420;   TERRESTRIAL ECOSYSTEMS  ;Zambia;4;Management of critical habitats;1,400,000;;Biodiversity;1400000;management,critical habitat
421;   TERRESTRIAL ECOSYSTEMS  ;Zambia;5;Promote natural regeneration of indigenous forests;1,000,000;;Forest ecosystem;1000000;forest indigenous,natural regeneration
422;   TERRESTRIAL ECOSYSTEMS  ;Zambia;8;Eradication of Invasive Alien Species;1,000,000;;Biodiversity;1000000;eradication,alien invasive species
496;WATER RESOURCES  ;Zambia;7;Maintenance and provision of water Infrastructure to communities to reduce Human-Wildlife Conflict;;75;Water management;75000;community,infrastructure water,maintenance provision,conflict wildlife,human
178;  COASTAL ZONES AND MARINE ECOSYSTEMS;;;;;;
427; TOURISM ;;;;;;
